Country,GDP,GDP per capita
Nigeria,480.48,2272.84
Egypt,396.33,3974.75
South Africa,329.6,6102.17
Algeria,163.81,3638.33
Morocco,126.04,3470.8
Kenya,109.49,2198.59
Ethiopia,92.76,939.51
Ghana,75.49,2413.1
Angola,70.34,2200.68
Tanzania,69.24,1159.19
Ivory Coast,68.84,2489.1
Democratic Republic of the Congo,54.83,593.56
Cameroon,44.81,1645.81
Uganda,43.24,1018.44
Tunisia,42.73,3555.59
Sudan,35.92,789.45
Senegal,27.58,1602.9
Libya,27.3,4068.61
Zimbabwe,25.79,1664.76
Zambia,21.7,1115.27
Burkina Faso,19.93,926.2
Mali,19.56,966.14
Gabon,18.29,8569.22
Benin,18.07,1446.83
Botswana,17.61,7349.88
Guinea,16.72,1168.18
Mozambique,15.83,429.27
Niger,15.64,622.23
Madagascar,14.1,498.68
Republic of Congo,12.74,2655.72
Equatorial Guinea,12.53,8625.76
Chad,12.35,729.84
Namibia,12.21,4693.46
Malawi,12.15,565.8
Mauritius,11.0,8681.61
Rwanda,10.4,802.26
Mauritania,9.16,2161.28
Togo,8.49,1000.44
Somalia,5.42,350.36
Eswatini,4.52,3965.43
Sierra Leone,4.41,541.06
Djibouti,3.65,3654.5
Liberia,3.38,703.41
South Sudan,3.26,230.13
Burundi,3.19,261.05
Central African Republic,2.59,525.91
Lesotho,2.48,1187.51
Eritrea,2.25,625.97
The Gambia,2.04,746.33
Cape Verde,1.89,3346.55
Guinea-Bissau,1.59,858.04
Seychelles,1.29,13140.37
Comoros,1.28,1390.06
São Tomé and Príncipe,0.53,2392.89
